Study_Hours,Attendance,Assignment,Internal_Marks,Final_Grade
7,69,46,5,C
4,69,99,8,B
8,80,55,19,A
5,96,65,17,B
7,67,87,9,B
10,86,96,20,A
3,93,91,11,B
7,86,99,5,B
8,58,88,20,A
5,84,41,7,C
4,91,40,20,B
8,77,87,6,B
8,93,51,13,B
3,99,44,14,B
6,69,76,19,B
5,97,71,10,B
2,83,98,14,B
8,90,94,7,B
6,67,48,12,C
2,86,80,18,B
5,61,74,12,B
1,76,58,6,C
10,82,87,20,A
6,56,55,19,B
9,96,42,10,B
1,99,59,11,B
10,60,63,6,C
3,82,93,19,B
7,82,95,15,A
4,98,72,14,B
9,98,63,6,B
3,74,91,14,B
5,84,50,5,C
3,65,88,12,B
7,82,47,5,C
5,79,75,13,B
9,93,77,15,A
7,87,79,10,B
2,55,59,20,B
4,81,74,11,B
9,67,87,17,A
2,95,64,14,B
10,57,74,11,B
9,93,64,14,A
10,60,68,7,B
5,62,57,6,C
2,81,85,13,B
4,63,57,12,C
7,91,41,17,B
8,87,93,16,A
3,96,74,14,B
1,98,55,11,C
4,78,100,13,B
2,69,80,8,C
8,86,75,17,A
4,86,72,8,B
2,78,43,5,C
6,95,72,12,B
6,66,53,20,B
10,93,60,18,A
4,56,87,20,B
6,57,59,18,B
2,91,95,16,B
10,71,47,7,B
2,56,46,11,C
10,56,42,19,B
4,82,56,16,B
8,77,72,6,B
7,91,87,6,B
9,86,51,20,A
8,87,98,11,A
5,55,90,19,B
2,73,61,10,C
5,56,94,7,C
8,98,61,13,B
10,80,85,14,A
9,86,69,19,A
9,60,77,18,A
1,86,77,17,B
9,58,84,10,B
7,65,90,14,B
9,71,93,14,A
8,92,47,10,B
1,78,66,5,C
8,59,66,8,C
8,88,73,14,A
3,60,60,10,C
1,76,69,19,B
8,65,72,10,B
3,70,67,15,B
3,87,86,16,B
1,63,72,9,C
5,60,44,5,C
10,70,99,12,A
7,83,100,9,B
10,57,87,16,A
9,74,58,16,B
7,90,43,16,B
9,73,74,9,B
8,80,88,11,B
2,57,56,8,C
1,73,83,10,C
7,74,67,17,B
7,86,69,20,A
8,61,68,8,C
5,95,85,18,A
3,87,92,19,A
8,94,45,7,B
6,93,74,11,B
3,72,99,12,B
1,94,80,8,C
3,55,76,20,B
5,65,63,17,B
3,82,68,6,C
1,79,88,16,B
5,77,85,14,B
10,85,92,18,A
7,84,70,7,B
7,96,74,5,B
9,89,99,12,A
